dataset,subject,method,accuracy,kappa,erd_group,erd_value,erd_C3_mu,erd_C3_beta,erd_C3_comp,erd_C4_mu,erd_C4_beta,erd_C4_comp
BNCI2014_001,7,ek_tta,0.7881944444444444,0.5763888888888888,ERD,-16.192350761135,-7.796592471754399,-28.206309971060932,-18.001451221407663,-8.090781943531976,-20.67571865819269,-14.383250300862336
BNCI2014_001,7,erd_align,0.7951388888888888,0.5902777777777778,ERD,-16.192350761135,-7.796592471754399,-28.206309971060932,-18.001451221407663,-8.090781943531976,-20.67571865819269,-14.383250300862336
BNCI2014_001,7,erd_align_ek,0.7777777777777778,0.5555555555555556,ERD,-16.192350761135,-7.796592471754399,-28.206309971060932,-18.001451221407663,-8.090781943531976,-20.67571865819269,-14.383250300862336
BNCI2014_001,8,no_adapt,0.9131944444444444,0.8263888888888888,ERS,13.158319681608923,28.64398831515418,5.418341047602655,17.031164681378417,13.891928330706127,4.679021032972732,9.28547468183943
BNCI2014_001,8,tent,0.8784722222222222,0.7569444444444444,ERS,13.158319681608923,28.64398831515418,5.418341047602655,17.031164681378417,13.891928330706127,4.679021032972732,9.28547468183943
BNCI2014_001,8,ek_tta,0.8923611111111112,0.7847222222222222,ERS,13.158319681608923,28.64398831515418,5.418341047602655,17.031164681378417,13.891928330706127,4.679021032972732,9.28547468183943
BNCI2014_001,8,erd_align,0.9131944444444444,0.8263888888888888,ERS,13.158319681608923,28.64398831515418,5.418341047602655,17.031164681378417,13.891928330706127,4.679021032972732,9.28547468183943
BNCI2014_001,8,erd_align_ek,0.8923611111111112,0.7847222222222222,ERS,13.158319681608923,28.64398831515418,5.418341047602655,17.031164681378417,13.891928330706127,4.679021032972732,9.28547468183943
BNCI2014_001,9,no_adapt,0.7361111111111112,0.4722222222222222,ERD,-15.909372877781554,-5.055392460884282,-22.566405862094086,-13.810899161489184,-14.153235922382095,-21.86245726576575,-18.00784659407392
BNCI2014_001,9,tent,0.71875,0.4375,ERD,-15.909372877781554,-5.055392460884282,-22.566405862094086,-13.810899161489184,-14.153235922382095,-21.86245726576575,-18.00784659407392
BNCI2014_001,9,ek_tta,0.7430555555555556,0.48611111111111116,ERD,-15.909372877781554,-5.055392460884282,-22.566405862094086,-13.810899161489184,-14.153235922382095,-21.86245726576575,-18.00784659407392
BNCI2014_001,9,erd_align,0.71875,0.4375,ERD,-15.909372877781554,-5.055392460884282,-22.566405862094086,-13.810899161489184,-14.153235922382095,-21.86245726576575,-18.00784659407392
BNCI2014_001,9,erd_align_ek,0.75,0.5,ERD,-15.909372877781554,-5.055392460884282,-22.566405862094086,-13.810899161489184,-14.153235922382095,-21.86245726576575,-18.00784659407392
